"SIUQ3G_L"	"STHFJP_L"	"S8APX1_L"	"SACBBR_L"	"SIRUBH_L"	"S5MEZA_L"	"SCNXZK_L"	"SC1YIM_L"	"SBWPUY_L"	"SY34ZS_L"	"SUXEKB_L"	"SG3CB2_L"	"SLWUQ2_L"	"SKYQAL_L"	"SQVR9H_L"
"0df287bf7b7d0fa030446bd05306453b"	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0
"0e45c20317e0065f54c7d5f4bee98091"	0	59	0	0	0	4703	2340	0	0	705	103	176	0	85	0
"0edd766c8ac26f30da72e97152739f1a"	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
"0ee4e125fe2cf22c87b629b3753f5a36"	0	0	0	0	0	0	0	0	0	1873	0	0	0	26	0
"0eeea42c4588fd6f999da21f7fbfa56a"	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
"0f0a4e883af5bff0bd58c6adcc76364d"	0	0	0	0	0	0	0	0	66	0	234	0	0	0	0
"0f2c82c5bfd36fd19afb65a0ae09bb70"	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0
"0f49ea88f95d13c4b0da10fe35a8de49"	0	0	0	0	0	2998	0	0	0	0	0	0	0	0	0
"0f6670555bafc987beb47378740a93f7"	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0
"0f74e4819941eb06ce085f842371df89"	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0
"0f8be99e400ac4778a1ffd9d2ebf4e98"	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0
"0f91904c9048858713df26766b3244b6"	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
"0f94418c25cf48ecba32339c7397c7cf"	0	0	0	448	0	0	0	0	0	0	0	0	0	424	0
"0fb1b1be894737575bf2010f2685ce9f"	0	0	0	0	0	952	0	0	0	0	0	0	0	0	0
"0fc09662cd78794971f18496d7f66c2f"	4671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0fecf2ad502b63ae987301f5e3a599c2"	0	2870	2986	0	0	0	0	0	0	0	0	0	1	0	59
"103cf67e39649770ca725b6907d07030"	0	17	0	0	0	0	1944	0	0	0	0	0	0	0	0
"10df98ef64148a7e4a3d4e2b8251f233"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"110388d84313feb457587865e68f973f"	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0
"1143c9f10e981f35d9f7a11788a322e1"	0	1006	828	0	62343	799	0	0	0	1869	11684	0	0	3472	0
"119e6937d008001c2848e446e8e077a1"	0	3995	0	0	0	0	0	0	0	542	0	0	0	0	0
"1201c2c6c487ade97b1b2995b8d3eec1"	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0
"12362e65f3091e073cdd829ff2b190c2"	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0
"123ab021ef4f9e63c326847f7db9ad31"	0	4532	1394	0	0	0	0	0	0	0	0	0	0	0	0
"12aa2295797b9d694f27bc3bec12dd4a"	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0
"12bebc98dbd186dac83e1f5abbed2805"	0	0	0	0	0	0	0	0	0	0	6372	0	0	0	0
"12fa0aeb8959aacd87fff25023283430"	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
"134caa5fb29b306952984caa6e870f2e"	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0
"1366edb83986e241b9197e82d2fd5af9"	0	0	0	0	0	0	0	0	0	18112	0	0	0	0	0
"1446563998420bb2e6f8e2aad06c9e2c"	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
"14ce00214ecdb7198dea9c68f8a749a5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396
